,Station number,Station name,lon,lat
0,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,-77.0793404,38.9475692
1,31400,Georgia & New Hampshire Ave NW,-77.024649,38.9360427
2,31270,8th & D St NW,-77.0232423,38.8948588
3,31503,Florida Ave & R St NW,-77.0134376,38.9125413
4,31324,18th & New Hampshire Ave NW,-77.0418313,38.9112758
5,31241,Thomas Circle,-77.0325,38.9058997
6,31020,Wilson Blvd & Franklin Rd,-77.0889,38.8903997
7,31104,Adams Mill & Columbia Rd NW,-77.0425553,38.9230444
8,31254,15th & K St NW,-77.03353,38.9019997
9,31111,10th & U St NW,-77.0259,38.9171997
10,31029,N Veitch  & 20th St N,-77.086502,38.8969227
11,31602,Park Rd & Holmead Pl NW,-77.0315137,38.9308232
12,31281,8th & O St NW,-77.0227723,38.9086478
13,31620,5th & F St NW,-77.019347,38.8972217
14,31200,Massachusetts Ave & Dupont Circle NW,-77.0444,38.9100997
15,31116,California St & Florida Ave NW,-77.04062,38.9177607
16,31213,17th & K St NW,-77.0386382,38.9027555
17,31214,17th & Corcoran St NW,-77.0386464,38.912083
18,31128,23rd & M St NW,-77.0502663,38.9053108
19,31127,22nd & H St NW,-77.0489483,38.8991118
20,31923,Columbia Pike & S Taylor St,-77.1037303,38.8585318
21,31125,15th & W St NW,-77.0345043,38.9190938
22,31113,Columbia Rd & Belmont St NW,-77.04368,38.9206687
23,31649,14th & Newton St NW,-77.0329583,38.9319988
24,31105,14th & Harvard St NW,-77.0322,38.9267997
25,31110,20th St & Florida Ave NW,-77.0446,38.9153997
26,31202,14th & R St NW,-77.03167,38.9126963
27,31401,14th St & Spring Rd NW,-77.0328,38.9374997
28,31282,16th & R St NW,-77.0362803,38.9126598
29,31115,Columbia Rd & Georgia Ave NW,-77.02344,38.9281557
30,31624,North Capitol St & F St NW,-77.009888,38.8974457
31,31606,Potomac & Pennsylvania Ave SE,-76.9862,38.8802997
32,31123,14th & Girard St NW,-77.0323773,38.9252918
33,31296,Columbia & Ontario Rd NW,-77.0407893,38.9240958
34,31658,Rosedale Rec Center / 17th & Gales St NE,-76.9796363,38.8978158
35,32021,47th & Elm St,-77.0919933,38.9824638
36,31119,14th & Belmont St NW,-77.0318893,38.9210818
37,32026,Carroll & Ethan Allen Ave,-77.0064743,38.9779408
38,31712,Oklahoma Ave & D St NE,-76.9748303,38.8944818
39,31518,New York Ave & Hecht Ave NE,-76.9836853,38.9156118
40,31519,1st & O St NW,-77.0123673,38.9086508
41,31264,6th St & Indiana Ave NW,-77.0199423,38.8945808
42,31615,6th & H St NE,-76.9983,38.900042
43,31505,Eckington Pl & Q St NE,-77.00495,38.9109717
44,31623,Columbus Circle / Union Station,-77.00493,38.8969597
45,31651,11th & Park Rd NW,-77.0283073,38.9316578
46,31608,8th & Eye St SE / Barracks Row,-76.9953,38.8791997
47,31102,11th & Kenyon St NW,-77.027822,38.9294637
48,31253,19th & K St NW,-77.04337,38.9022037
49,31299,Connecticut Ave & R St NW,-77.0456423,38.9126518
50,31508,Gallaudet / 8th St & Florida Ave NE,-76.9941,38.9050897
51,31244,4th & E St SW,-77.017445,38.8841197
52,31234,20th & O St NW / Dupont South,-77.04478,38.9089047
53,31232,7th & F St NW / National Portrait Gallery,-77.022322,38.8973237
54,31211,Kennedy Center,-77.054845,38.8951837
55,31211,Kennedy Center,-77.0555723,38.8973008
56,31046,Henry St & Pendleton St,-77.050276,38.8114557
57,31610,Eastern Market / 7th & North Carolina Ave SE,-76.996806,38.8869517
58,31643,1st & D St SE,-77.0059614,38.884906
59,31229,New Hampshire Ave & T St NW,-77.03818,38.9155397
60,31280,11th & S St NW,-77.0270273,38.9137688
61,31265,5th St & Massachusetts Ave NW,-77.0186793,38.9009378
62,31512,Neal St & Trinidad Ave NE,-76.9872133,38.9037398
63,31278,18th & R St NW,-77.0418363,38.9126558
64,31004,Aurora Hills Community Ctr/18th & Hayes St,-77.0594923,38.8578738
65,31226,34th St & Wisconsin Ave NW,-77.0682,38.9164417
66,31622,13th & D St NE,-76.987633,38.8948317
67,31631,8th & F St NE,-76.9947513,38.8972818
68,31306,39th & Calvert St NW / Stoddert,-77.077271,38.9226487
69,31404,9th & Upshur St NW,-77.0250953,38.9417636
70,31627,3rd & M St NE,-77.0021323,38.9054778
71,31628,1st & K St SE,-77.0057386,38.8789569
72,31245,7th & R St NW / Shaw Library,-77.0225929,38.9127284
73,31312,Wisconsin Ave & O St NW,-77.0635883,38.9084978
74,31095,Army Navy Dr & S Nash St,-77.0681233,38.8621578
75,31323,Woodley Park Metro / Calvert St & Connecticut Ave NW,-77.0518353,38.9233968
76,31617,Bladensburg Rd & Benning Rd NE,-76.982872,38.9004127
77,31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,-77.0078023,38.9150078
78,31088,Mount Vernon Ave & Kennedy St,-77.0598375,38.8329403
79,31218,L'Enfant Plaza / 7th & C St SW,-77.022241,38.8862657
80,31659,11th & C St SE,-76.9914783,38.8859158
81,31238,14th & G St NW,-77.031823,38.8980687
82,32204,Tysons Corner Station,-77.2221174,38.9209468
83,31630,15th & East Capitol St NE,-76.9833283,38.8899158
84,31108,4th & M St SW,-77.0178,38.8766997
85,31524,Montello Ave & Holbrook Terr NE,-76.9868153,38.9074518
86,31626,15th St & Massachusetts Ave SE,-76.983569,38.8873197
87,31603,1st & M St NE,-77.0056,38.9056997
88,31636,New Jersey Ave & N St NW/Dunbar HS,-77.015279,38.907151
89,31126,11th & Girard St NW,-77.0271143,38.9256438
90,31632,15th & F St NE,-76.9835773,38.8972028
91,31611,13th & H St NE,-76.9884243,38.9000298
92,31314,34th & Water St NW,-77.0676703,38.9036708
93,31101,14th & V St NW,-77.0321,38.9175997
94,32001,Fenton St & New York Ave ,-77.0230843,38.9854118
95,31621,4th & D St NW / Judiciary Square,-77.016106,38.8953437
96,31049,Utah St & 11th St N ,-77.1138748,38.8836681
97,31302,Wisconsin Ave & Newark St NW,-77.0727503,38.9348907
98,31406,14th & Upshur St NW,-77.0326543,38.9420238
99,31237,25th St & Pennsylvania Ave NW,-77.053485,38.9038267
100,31802,Good Hope Rd & MLK Ave SE,-76.988039,38.8673727
101,31091,S Joyce & 16th St S,-77.0632773,38.8592618
102,31285,22nd & P ST NW,-77.0487303,38.9094018
103,31298,15th & M St NW,-77.0346763,38.9054318
104,31639,2nd & G St NE,-77.0036683,38.8996778
105,31614,11th & H St NE,-76.991383,38.8999827
106,31118,3rd & Elm St NW,-77.0159723,38.9176298
107,31093,21st St N & N Pierce St,-77.0783193,38.8989918
108,31050,Barton St & 10th St N,-77.08777,38.8849607
109,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,-77.0465583,38.8841284
110,31635,Potomac Ave & 8th St SE,-76.9944703,38.8767448
111,31124,14th & Irving St NW,-77.0322263,38.9285598
112,31090,Long Bridge Dr & 6th St S,-77.0500323,38.8655608
113,31417,Kansas Ave & Sherman Cr NW,-77.0214693,38.9480648
114,31284,18th & C St NW,-77.0415463,38.8935188
115,31212,21st & M St NW,-77.0467762,38.9053609
